filename,chroma_stft,rmse,spectral_centroid,spectral_bandwidth,rolloff,zero_crossing_rate,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,label
blues.00000.0.wav,0.3354063630104065,0.1304050236940384,1773.0650319904662,1972.7443881356733,3714.560359074519,0.0818509615384615,-118.62791442871094,125.08362579345705,-23.443723678588867,41.32148361206055,-5.976108074188232,20.115140914916992,-16.04541015625,17.85519790649414,-14.633434295654297,10.270526885986328,-9.70827865600586,10.18387508392334,-4.681614398956299,8.417439460754395,-7.233476638793945,-2.8536033630371094,-3.2412803173065186,0.7222089767456055,-5.05033540725708,-0.2430267930030822,blues
blues.00000.1.wav,0.3430653512477875,0.1126992478966713,1816.6937765281948,2010.0515008132973,3869.6822415865386,0.0871732271634615,-125.59070587158205,122.42122650146484,-20.718019485473636,50.12838745117188,-11.33330249786377,21.385400772094727,-15.960796356201172,19.454103469848636,-12.465917587280272,17.898168563842773,-11.73255443572998,8.145000457763672,-7.717750549316406,8.397150039672852,-8.300493240356445,4.074709415435791,-6.055294036865234,0.1590154767036438,-2.8376989364624023,5.784063339233398,blues
blues.00000.2.wav,0.346814751625061,0.1320033818483352,1788.539718722745,2084.5651317448537,3997.63916015625,0.0713829627403846,-132.4419403076172,115.08517456054688,-14.81166648864746,50.18929290771485,-0.6808194518089294,24.650375366210938,-13.506104469299316,15.643385887145996,-13.216636657714844,10.406024932861328,-7.991464614868164,11.853962898254396,-4.677677154541016,6.571109771728516,-2.4247500896453857,4.806280136108398,-1.7686097621917725,2.3787682056427,-1.9384244680404663,2.5173747539520264,blues
blues.00000.3.wav,0.3636387884616852,0.1325647234916687,1655.289045406881,1960.0399882877423,3568.3002178485576,0.0694260817307692,-118.23108673095705,132.1165008544922,-18.75833511352539,39.76930618286133,-13.260425567626951,20.4681339263916,-14.563447952270508,18.74510383605957,-13.755462646484377,12.993759155273438,-12.648886680603027,10.38931369781494,-4.362738609313965,9.156192779541016,-9.88944149017334,-1.359110713005066,-3.841154575347901,1.2185875177383425,-3.580352067947388,3.630866050720215,blues
blues.00000.4.wav,0.3355794250965118,0.1432888060808181,1630.6561993510777,1948.503884411432,3469.992863581731,0.0700946514423077,-105.96837615966795,134.64364624023438,-19.961748123168945,40.1717529296875,-14.271939277648926,18.734617233276367,-15.619380950927734,19.20796585083008,-18.274682998657227,14.316693305969238,-5.792194366455078,17.04543685913086,-5.681398868560791,5.705521106719971,-7.986080169677734,2.092937469482422,0.6645822525024414,1.6894464492797852,-3.392489194869995,0.5369608998298645,blues
blues.00000.5.wav,0.3766697347164154,0.1326178014278412,1994.9152192705897,2152.767854214608,4371.985614483173,0.0924203725961538,-100.75279235839844,111.50997924804688,-13.614381790161133,47.21832275390625,-12.299808502197266,19.724773406982425,-13.57834815979004,15.337599754333496,-12.423593521118164,12.252741813659668,-10.47211456298828,9.367176055908203,-3.4198927879333496,6.704868793487549,-6.999777317047119,2.1271984577178955,-3.4483730792999268,-0.4161648154258728,-3.649624824523926,3.025217771530152,blues
blues.00000.6.wav,0.3799087405204773,0.1303347796201706,1962.1500958726688,2146.503479192859,4325.0266676682695,0.0895733173076923,-101.77303314208984,117.01033020019533,-20.812578201293945,42.79658889770508,-9.79063606262207,22.849124908447266,-16.340839385986328,18.391414642333984,-16.100749969482422,15.335210800170898,-10.30678367614746,11.569771766662598,-7.9374847412109375,7.370623588562012,-5.658714771270752,4.893660068511963,-2.0681943893432617,1.4281407594680786,-3.26712417602539,3.2769386768341064,blues
blues.00000.7.wav,0.3318799436092376,0.140600323677063,1701.8909235781698,1979.3876121320984,3625.280386117789,0.0709359975961538,-109.16507720947266,127.6955108642578,-20.28654670715332,38.8380126953125,-12.65810489654541,17.81919288635254,-16.39320945739746,16.744558334350586,-17.368362426757812,11.820992469787598,-9.058530807495115,11.668596267700195,-4.241795539855957,7.482486724853516,-5.03971004486084,3.122666597366333,-3.637886047363281,-0.1051477268338203,-2.016984701156616,0.2107869684696197,blues
blues.00000.8.wav,0.3478773832321167,0.1331299096345901,1746.4735023276876,1887.619723142195,3586.9347205528848,0.0876690204326923,-113.37319946289062,129.03921508789062,-31.377763748168945,42.99452972412109,-6.005670070648193,19.90250587463379,-18.395944595336918,18.18878555297852,-13.093650817871094,13.785285949707031,-10.417048454284668,8.280641555786133,-7.179648399353027,5.982778072357178,-9.880797386169434,-0.285936027765274,-4.370028972625732,2.1145920753479004,-2.264662981033325,3.758598327636719,blues
blues.00000.9.wav,0.3580612540245056,0.1153120622038841,1763.9489423059536,1874.1957101296143,3505.522648737981,0.1017765925480769,-125.53290557861328,126.76490020751952,-32.456787109375,53.65889739990234,-1.761399507522583,23.62383270263672,-20.049434661865234,15.453572273254396,-13.6771240234375,11.425658226013184,-15.09278392791748,9.418168067932127,-4.564155101776123,9.792022705078123,-4.366273880004883,6.691686153411865,-3.448303699493408,0.0997915416955947,-7.677177429199219,0.791775643825531,blues
